program,title,link,upvotes,bounty,vuln_type,date
Uzbey,Price Manipulation,hackerone.com/reports/17502,2,0.0,Violation of Secure Design Principles,2014-08-29
HackerOne,Account takeover,hackerone.com/reports/17512,16,0.0,Improper Authentication - Generic,2014-07-17
Uzbey,Information Disclosure (phpinfo()),hackerone.com/reports/17514,6,0.0,Information Disclosure,2014-06-28
IRCCloud,Reflected XSS in Pastebin-view,hackerone.com/reports/17540,3,0.0,Cross-site Scripting (XSS) - Generic,2014-06-28
Uzbey,Mass invitation send,hackerone.com/reports/17638,2,0.0,,2014-09-29
Factlink,Click-Jacking due to missing X-frame header,hackerone.com/reports/17664,4,0.0,Violation of Secure Design Principles,2014-08-13
Internet Bug Bounty,LZ4 Core,hackerone.com/reports/17688,1,0.0,Memory Corruption - Generic,2014-07-25
Faceless,Tap Jacking Attack on Button Tags,hackerone.com/reports/17766,2,0.0,,2014-07-07
HackerOne,Denial of Service,hackerone.com/reports/17785,4,100.0,Uncontrolled Resource Consumption,2015-04-28
jsDelivr,Directory Traversal at http://staging.jsdelivr.net/,hackerone.com/reports/18371,4,0.0,Command Injection - Generic,2014-08-20
jsDelivr,XSS,hackerone.com/reports/18372,2,0.0,Cross-site Scripting (XSS) - Generic,2014-07-29
jsDelivr,Using nmap revealing sensitive information ,hackerone.com/reports/18382,6,0.0,Information Disclosure,2014-08-28
jsDelivr,HSTS Policy not enabled on cdn.jsdelivr.net,hackerone.com/reports/18398,3,0.0,Violation of Secure Design Principles,2014-07-29
Automattic,Top 10 2013-A2-Broken Authentication and Session Management - wordpress.com,hackerone.com/reports/18503,4,0.0,Improper Authentication - Generic,2014-08-16
Phabricator,XSS in editor by any user,hackerone.com/reports/18691,3,1000.0,Cross-site Scripting (XSS) - Generic,2014-08-13
RelateIQ,Resubmitted with POC #18685 Password reset CSRF,hackerone.com/reports/18698,5,0.0,Cross-Site Request Forgery (CSRF),2014-09-16
Factlink,XSS 01 on staging.fct.li,hackerone.com/reports/18805,3,0.0,Cross-site Scripting (XSS) - Generic,2014-07-07
